client_id,city_nm,Total_spent
1-11B0XBL,Москва,359.6
1-14HPC7Z,Нижний Новгород,29.0
1-15GSF3N,Омск,133.0
1-1AJFCHX,Санкт-Петербург,2479.0
1-1C7ZCKV,Москва,649.0
1-1D4Y8EH,Москва,449.1
1-1D62879,Москва,891.88
1-1D69ED7,Москва,550.0
1-1D8ABHP,Москва,930.0
1-1FHD942,Москва,325.0
1-1G1FUYJ,Москва,465.0
1-1IVY7MI,Екатеринбург,87.0
1-1IVY7MI,Уфа,24.9
1-1JLNQNT,Новосибирск,338.5
1-1JLNQNT,Санкт-Петербург,282.75
1-1JNQDF1,Казань,329.0
1-1JNQDF1,Санкт-Петербург,358.0
1-1LO6MZY,Казань,650.0
1-1LY8TUA,Санкт-Петербург,515.0
1-1M5G4O,Санкт-Петербург,2299.0
1-1MJ8I6O,Санкт-Петербург,149.5
1-1MSCJAX,Волгоград,803.33
1-1MSCJAX,Краснодар,119.8
1-1MSCJAX,Красноярск,84.5
1-1MSCJAX,Москва,1208.45
1-1MSCJAX,Новосибирск,784.5
1-1MSCJAX,Самара,174.5
1-1NUIJ1Q,Новосибирск,1099.0
1-1NYS47Z,Москва,1858.0
1-1PI54AO,Москва,174.75
1-1PI54AO,Санкт-Петербург,450.0
1-1QK96F4,Москва,1299.0
1-1QK99R7,Москва,541.0
1-1QLK4ON,Москва,899.0
1-1SJORBI,Санкт-Петербург,1928.0
1-1W2VOL4,Санкт-Петербург,642.56
1-1W8QL2I,Нижний Новгород,124.75
1-1W8QL2I,Санкт-Петербург,249.75
1-1X1HMVB,Казань,449.7
1-1XEKEUQ,Москва,499.0
1-1XL7JXE,Краснодар,739.0
1-1XL7JXE,Москва,1098.0
1-1XL7JXE,Санкт-Петербург,799.0
1-1Y4DEYI,Санкт-Петербург,2375.0
1-1ZUWFDC,Пермь,319.2
1-1ZWZI4S,Санкт-Петербург,2759.0
1-204QUB0,Санкт-Петербург,359.7
1-221AQW0,Санкт-Петербург,260.0
1-24OH8DK,Нижний Новгород,699.01
1-24OH8DK,Санкт-Петербург,360.0
1-25PEI0E,Санкт-Петербург,129.9
1-26IESO6,Санкт-Петербург,736.33
1-26TB4ND,Москва,778.65
1-279ODQM,Москва,1659.0
1-27VL0O8,Санкт-Петербург,999.5
1-28BE5Z,Ростов-на-Дону,854.1
1-28Y5M7K,Екатеринбург,2174.11
1-28Y5M7K,Москва,3098.0
1-28Y5M7K,Новосибирск,1196.26
1-28Y5M7K,Омск,3299.0
1-29AL76S,Санкт-Петербург,329.0
1-2BVUU5Y,Санкт-Петербург,399.6
1-2CZYTTH,Самара,149.75
1-2DFPDEW,Новосибирск,974.35
1-2DLJKKI,Москва,209.5
1-2GMQCK0,Казань,33.8
1-2GMQCK0,Москва,618.2
1-2GMQCK0,Омск,33.8
1-2GMQCK0,Ростов-на-Дону,435.0
1-2GMQCK0,Санкт-Петербург,43.5
1-2GMQCK0,Челябинск,372.0
1-2GYSTI,Москва,249.75
1-2GYSTI,Челябинск,1474.95
1-2HT3WQY,Москва,710.0
1-2INOQ5K,Москва,400.25
1-2JPSLE3,Санкт-Петербург,629.0
1-2KD8KDN,Санкт-Петербург,1600.0
1-2LH77D7,Челябинск,987.0
1-2NEHEB,Санкт-Петербург,1499.0
1-2NEIRUZ,Москва,115.18
1-2NMD1WV,Москва,107.8
1-2OI2FPX,Санкт-Петербург,1181.0
1-2VCYAKF,Нижний Новгород,128.75
1-2YAD42J,Омск,789.85
1-30ZTSU9,Москва,340.0
1-32YVPUT,Санкт-Петербург,174.75
1-33UPC79,Москва,390.0
1-34P1VCX,Екатеринбург,1250.0
1-354RYPU,Москва,3848.91
1-358HUHJ,Москва,199.8
1-378T6GX,Москва,814.0
1-37TH6RZ,Москва,679.0
1-37VF4LN,Москва,630.37
1-37VF4LN,Санкт-Петербург,62.15
1-39YE20R,Уфа,385.0
1-3AA8OA9,Москва,567.8
1-3AK2KWH,Краснодар,280.0
1-3B23O8X,Нижний Новгород,59.85
1-3C214ES,Москва,965.0
1-3C214ES,Новосибирск,970.0
1-3C214ES,Санкт-Петербург,965.0
1-3D4EWCV,Санкт-Петербург,449.1
1-3DHFHVY,Москва,687.0
1-3DK1YCZ,Самара,133.0
1-3EHMBPR,Казань,1499.0
1-3EHMBPR,Омск,2799.3
1-3EHMBPR,Санкт-Петербург,1199.0
1-3EYTLE9,Омск,329.0
1-3EZGIK3,Екатеринбург,138.6
1-3EZGIK3,Москва,94.98
1-3F05OQB,Москва,239.4
1-3F05OQB,Ростов-на-Дону,79.9
1-3FPOLLP,Санкт-Петербург,414.0
1-3GQ8I2B,Москва,329.67
1-3GQ8I2B,Санкт-Петербург,457.47
1-3HGRIKD,Санкт-Петербург,27.89
1-3KNENBP,Ростов-на-Дону,382.25
1-3L6BXU5,Москва,757.6
1-3L6BXU5,Самара,399.0
1-3NKQLQ8,Москва,814.0
1-3T36BQV,Москва,759.6
1-3TC6IG5,Москва,1749.1
1-3VUMW4R,Москва,999.5
1-3W2SQPS,Москва,360.0
1-3Y1797I,Волгоград,320.0
1-40X4AIJ,Москва,133.0
1-417ZVGA,Екатеринбург,1191.75
1-43WKDUH,Москва,1199.0
1-43WKDUH,Санкт-Петербург,400.0
1-449NZTV,Москва,2799.3
1-46ULG2Z,Нижний Новгород,3412.72
1-46WC90L,Москва,2407.71
1-49WHEZ3,Москва,29.0
1-49ZS1TS,Санкт-Петербург,2272.7
1-4C35ZG9,Воронеж,102.0
1-4C35ZG9,Москва,1026.0
1-4C35ZG9,Омск,154.0
1-4C35ZG9,Санкт-Петербург,102.0
1-4FQQA85,Казань,415.8
1-4FQQA85,Москва,415.8
1-4QN6KV4,Москва,814.0
1-4TVXP0Q,Новосибирск,199.0
1-4TVXP0Q,Ростов-на-Дону,769.3
1-4V9CVAC,Красноярск,111.72
1-4VCJK0X,Санкт-Петербург,3709.3
1-4VGVS8L,Москва,329.0
1-4XT8NJD,Уфа,119.2
1-4YKT0DY,Казань,101.65
1-4YL1THX,Уфа,2999.0
1-4ZLL5LY,Москва,1454.36
1-503V4OH,Москва,283.5
1-52EGH7N,Самара,97.72
1-53GYTK2,Екатеринбург,719.55
1-53X8294,Нижний Новгород,831.0
1-53XYV0W,Санкт-Петербург,25.98
1-56E51KD,Уфа,1999.0
1-57OJWBB,Москва,2479.0
1-57Y1GVE,Самара,175.0
1-584UXC7,Самара,629.0
1-594P5T7,Волгоград,403.2
1-59L3Q3R,Москва,399.6
1-5B07N67,Москва,769.3
1-5B07N67,Санкт-Петербург,769.3
1-5BWK9ZC,Москва,435.0
1-5BYC15G,Москва,1118.0
1-5C5HA3C,Москва,808.4
1-5E52VRK,Москва,799.0
1-5EIG565,Москва,1342.88
1-5EU8HRI,Москва,219.6
1-5FSXJ1V,Екатеринбург,2479.0
1-5FSXJ1V,Москва,325.0
1-5FSXJ1V,Новосибирск,749.0
1-5JCTS8N,Москва,452.2
1-5KNGTTU,Москва,759.6
1-5MB17ML,Москва,218.4
1-5MB17ML,Санкт-Петербург,114.24
1-5NWPKPE,Москва,2818.4
1-5OYYKHA,Москва,1249.0
1-5PULC2Y,Москва,1873.35
1-5PWY0TO,Казань,679.0
