party_rk,purchase_sum,russian_region_nm,russian_region_cd,timediff_to_msk_hour_cnt,russian_federal_district_cd
55379140,125139.99,Москва,077,0,001
262639579,168313.24902,Москва,077,0,001
284800800,11406.34,Москва,077,0,001
348241166,226707.76105,Москва,077,0,001
260568899,578507.48,Москва,077,0,001
290835829,70960.11,Москва,077,0,001
291083593,988410.76,Москва,077,0,001
250786550,567253.17,Москва,077,0,001
361019190,44631.0,Москва,077,0,001
268926027,313358.47,Москва,077,0,001
152853262,223233.86,Москва,077,0,001
72280453,7645.22,Москва,077,0,001
150609500,507294.78394,Москва,077,0,001
244315341,190998.58,Мурманская область,051,0,002
271023440,177011.1,Москва,077,0,001
269840429,186087.34,Москва,077,0,001
52037285,21060.49,Москва,077,0,001
79450459,195354.78,Москва,077,0,001
136373615,130679.73,Мурманская область,051,0,002
209255385,518262.75,Москва,077,0,001
161646721,12442.86,Москва,077,0,001
113736215,490432.21,Москва,077,0,001
118179874,390735.69303,Москва,077,0,001
259300280,663232.91,Москва,077,0,001
109463126,11459.88,Москва,077,0,001
262625350,21711.66,Москва,077,0,001
262648420,1400.0,Москва,077,0,001
10367118,7198.0,Москва,077,0,001
12939971,738120.69,Москва,077,0,001
6468622,12444.05,Москва,077,0,001
151141931,43706.47,Москва,077,0,001
120423771,448921.31,Москва,077,0,001
146295410,28011.07,Москва,077,0,001
259886688,998374.07,Москва,077,0,001
310925783,151803.11,Москва,077,0,001
329311981,190664.94,Москва,077,0,001
265242959,82690.8,Москва,077,0,001
140222850,1600624.57,Москва,077,0,001
16199146,1166843.07,Москва,077,0,001
2365199,307557.22,Москва,077,0,001
265126548,1485.44,Москва,077,0,001
236011958,3300.0,Москва,077,0,001
295514758,2535.46,Москва,077,0,001
2896966,712484.18,Москва,077,0,001
345964850,2075.79,Москва,077,0,001
10643421,491413.98,Москва,077,0,001
136284518,1195660.03136,Москва,077,0,001
344413361,176091.09,Москва,077,0,001
296209805,351047.67186,Москва,077,0,001
121911274,566560.62,Москва,077,0,001
169085283,49739.88,Москва,077,0,001
113737919,65031.49,Москва,077,0,001
