client_id,order_cnt
1-11B0XBL,1
1-14HPC7Z,1
1-15GSF3N,1
1-17GCAKP,1
1-1AJFCHX,13
1-1BFARRI,4
1-1C7ZCKV,1
1-1D4Y8EH,1
1-1D62879,5
1-1D69ED7,1
1-1D8ABHP,1
1-1DU7LXL,1
1-1FHD942,1
1-1G1FUYJ,1
1-1HMDCUV,3
1-1IVY7MI,2
1-1JLNQNT,10
1-1JNQDF1,2
1-1LO6MZY,1
1-1LY8TUA,1
1-1M5G4O,2
1-1MJ8I6O,1
1-1MSCJAX,9
1-1NUIJ1Q,1
1-1NYS47Z,2
1-1PI54AO,2
1-1PUHH1W,1
1-1QK96F4,1
1-1QK99R7,1
1-1QLK4ON,1
1-1S56877,8
1-1SJORBI,9
1-1SRRLPO,2
1-1T5WGGO,2
1-1W2VOL4,1
1-1W8QL2I,2
1-1X1HMVB,17
1-1XEKEUQ,1
1-1XL7JXE,4
1-1Y4DEYI,4
1-1YDKI52,1
1-1ZUWFDC,1
1-1ZWZI4S,2
1-204QUB0,1
1-221AQW0,1
1-227AU3Y,1
1-24OH8DK,2
1-25PEI0E,1
1-26IESO6,1
1-26TB4ND,3
1-279ODQM,1
1-27VL0O8,1
1-28BE5Z,1
1-28Y5M7K,5
1-29AL76S,1
1-29QP844,1
1-2BVUU5Y,1
1-2CZYTTH,1
1-2DFPDEW,1
1-2DLJKKI,1
1-2GMQCK0,8
1-2GYSTI,11
1-2HT3WQY,1
1-2INOQ5K,2
1-2JPSLE3,2
1-2KD8KDN,1
1-2LH77D7,3
1-2NEHEB,1
1-2NEIRUZ,1
1-2NMD1WV,1
1-2OI2FPX,2
1-2TJOD2P,8
1-2VCYAKF,1
1-2XJPLUJ,2
1-2YAD42J,7
1-2YVARB9,15
1-30ZTSU9,1
1-32YVPUT,1
1-33UPC79,1
1-34J021O,3
1-34P1VCX,2
1-354RYPU,3
1-358HUHJ,1
1-378T6GX,1
1-37TH6RZ,1
1-37VF4LN,9
1-39YE20R,1
1-3AA8OA9,1
1-3AK2KWH,1
1-3B23O8X,1
1-3C214ES,3
1-3D4EWCV,1
1-3DHFHVY,2
1-3DK1YCZ,1
1-3EHMBPR,4
1-3EYTLE9,1
1-3EZGIK3,8
1-3F05OQB,2
1-3FPOLLP,1
1-3GQ8I2B,2
1-3HGRIKD,1
1-3KNENBP,1
1-3L6BXU5,9
1-3NKQLQ8,1
1-3T36BQV,1
1-3TC6IG5,7
1-3VUMW4R,1
1-3W2SQPS,1
1-3Y1797I,1
1-3ZHRJEE,1
1-40X4AIJ,1
1-417ZVGA,4
1-421G2JA,8
1-43WKDUH,2
1-449NZTV,1
1-46ULG2Z,1
1-46WC90L,8
1-49WHEZ3,1
1-49ZS1TS,5
1-4C35ZG9,9
1-4FQQA85,2
1-4JYEQ89,1
1-4QN6KV4,1
1-4TVXP0Q,2
1-4V9CVAC,1
1-4VCJK0X,1
1-4VGVS8L,1
1-4XT8NJD,1
1-4YKT0DY,2
1-4YL1THX,1
1-4ZLL5LY,4
1-503V4OH,7
1-52EGH7N,1
1-53GYTK2,5
1-53X8294,2
1-53XYV0W,1
1-54R5IRQ,1
1-56E51KD,1
1-57OJWBB,1
1-57Y1GVE,1
1-584UXC7,1
1-594P5T7,1
1-59L3Q3R,1
1-5B07N67,2
1-5BWK9ZC,1
1-5BYC15G,2
1-5C5HA3C,3
1-5E52VRK,1
1-5EIG565,1
1-5EU8HRI,1
1-5FSXJ1V,3
1-5HAU6LZ,21
1-5JCTS8N,2
1-5KNGTTU,1
1-5MB17ML,2
1-5NWPKPE,2
1-5OYYKHA,1
1-5PULC2Y,2
1-5PWY0TO,1
1-5RHTI5N,2
1-5SI9EUL,1
1-5TGMBC4,1
1-5U2ULND,1
1-5UDT7HD,3
1-5V2091N,1
1-5WLH5AJ,1
1-5Y1AB5P,1
1-5Z8ZIVM,2
1-5ZVH99G,1
1-60CUXAP,1
1-60DNJ5F,1
1-61MCDY3,1
1-62K6DJZ,4
1-62KJ6M1,2
1-62PCSGH,1
1-65IQPCY,2
1-6AFZP91,1
1-6BQ2Q95,1
1-6F5Q4GT,2
1-6FBE198,1
1-6GSPNAN,1
1-6H3DD5T,1
1-6MQHVAT,2
1-6MQWG7M,1
1-6OXMT5M,1
1-6S8XASX,1
1-6UJEXC7,1
1-6USG9WF,1
1-6VOH18S,1
1-6W4GU8K,2
1-6ZFWSA5,1
1-6ZZV1AX,1
1-72Z1QCJ,1
1-73XQVMJ,1
1-755ZOAO,6
1-780RXS8,1
1-782MXKY,1
1-7AWM6LS,1
1-7CBIIB9,2
1-7CSGSPS,1
1-7EDXQG0,1
1-7FR40JJ,1
1-7FSOD90,2
1-7G0BYM1,1
1-7GW14GQ,2
1-7I91MNB,1
1-7J56WMJ,1
1-7JOSRID,4
1-7LQ5UP7,3
1-7MM2ME7,2
1-7MPTCPB,1
1-7P97OSL,1
1-7QF98S3,4
1-7TSELKC,1
1-7TUSPOS,1
1-7UO237N,5
1-7UPE0P0,1
1-7VCR2Q6,1
1-7VYMUBL,1
1-7W1QEU6,1
1-7WHVNYC,1
1-7Z480WP,4
1-7ZULR51,1
1-7ZZXZTC,12
1-80BI8GU,4
1-80RNIN1,1
1-81L81RE,1
1-82R9YX3,1
1-84QUV7A,1
1-8B6BTKV,1
1-8BXMIQX,2
1-8COU9N0,1
1-8CTV3A8,3
1-8EPZLTE,1
1-8GJQLVA,1
1-8H8VAWZ,1
1-8I3POSS,3
1-8IVH9US,1
1-8K8H242,1
1-8LNNBJV,1
1-8LT93GK,3
1-8NR287L,28
1-8PM6GOF,2
1-8Q7DRH0,2
1-8STII0F,1
1-8V66FR4,1
1-8VCSUE7,2
1-8VROTCK,4
1-8WP8O72,1
1-8XHD8PR,1
1-8YICJ95,1
1-8Z1VYIN,1
1-8ZXCXQO,2
1-90G3R60,1
1-92KX820,1
1-92VIT1J,1
1-970GSU4,3
1-994T95G,1
1-9BACJT1,3
1-9CYVREJ,6
1-9GI2D7Q,4
1-9GO5XHC,1
1-9HG3EOV,2
1-9HNRAOQ,1
1-9I9DA5C,1
1-9IMOHJ6,1
1-9KI9DOI,2
1-9NR0SPJ,2
1-9O0FCL0,1
1-9O7FMY2,1
1-9OWWVG7,9
1-9PKHPW3,1
1-9QXFUF8,1
1-9SIURP9,1
1-9SL3S5W,2
1-9SY1HT8,1
1-9TMXQDO,1
1-9UCP4BZ,8
1-9V5SY1I,1
1-9WN5XSL,1
1-9Y5T2ZR,1
1-9YC21T9,1
1-9Z1AD0N,1
1-A049PGC,1
1-A4GWS24,2
1-A50169A,1
1-A7E2JQD,2
1-A8IEDML,1
1-A8L1V3V,1
1-A93FA36,4
1-A9AQTQ6,1
1-A9BXK1M,1
1-AATKDOF,1
1-ACCLT6V,1
1-ACPYYCY,1
1-ACVCCUR,1
1-ADL4QLG,5
1-AEREHH1,1
1-AF2SAQ5,1
1-AFAF4DO,1
1-AFDNRIU,2
1-AGUNWZZ,3
1-AHZVQLL,1
1-AI1PIYU,1
1-AITRLS8,7
1-AJ6BVWM,1
1-AKY05PN,2
1-AKY2D1K,1
1-ALF9XA8,1
1-AMHL3OU,3
1-AN0HHJZ,1
1-AO7YSEO,1
1-APUS161,1
1-AQW7Z1T,1
1-AQZ5W7Q,1
1-AR5UPC7,3
1-ARDA1SC,1
1-AS1CWPD,1
1-ATSL1EN,13
1-AU95C4G,1
1-AUS65NY,1
1-AUSX406,1
1-AVVHGM4,1
1-AW8WLP3,3
1-AWZ29Y8,4
1-AXALYL2,1
1-AZ1A7XU,2
1-B0FV1AT,1
1-B0FYW3Q,1
1-B0TM5XG,9
1-B10RFC5,1
1-B1HAU4X,5
1-B32HE4Z,2
1-B3EZJLS,1
1-B5E2RFR,2
1-B5ICBIG,1
1-B5JVOFH,1
1-B6YT00U,1
1-B7TQGY3,1
1-B87YGIR,1
1-B8HCHH9,7
1-B8TWUU1,2
1-B9SD13B,1
1-BA0M8RN,1
1-BA4IECM,1
1-BA80TM1,1
1-BACOCOS,3
1-BAOALAA,1
1-BCXOXXF,5
1-BETCFMJ,1
1-BG62AVI,1
1-BHTYFOV,1
1-BI15RPO,2
1-BIQIJQ3,10
1-BL15TWH,1
1-BLFPY1Y,3
1-BLN5A6Z,1
1-BLV9CNX,1
1-BMI2YZE,2
1-BN6B68V,1
1-BOLNHZZ,1
1-BPSGL7N,1
1-BPT6W2X,8
1-BR9TTG5,1
1-BREYBEU,1
1-BVG5YQH,7
1-BWAKKHQ,3
1-BWB14AC,1
1-BWEY3TD,1
1-BWSUBCR,1
1-BYZZSXU,2
1-BZOO3OJ,2
1-C0MCOLP,8
1-C0TARQR,1
1-C4RSN4X,1
1-C5U8U3I,2
1-C6DTD5I,1
1-C6VFSQ3,2
1-C7VJ8OP,2
1-C8BWQIE,1
1-C9UZPGN,10
1-C9Z90CT,1
1-CAVYSCY,2
1-CC96G0U,1
1-CCKX6J4,1
1-CE56YD2,1
1-CF7AGVA,2
1-CGT9Z9B,1
1-CH238K1,1
1-CHBXWYH,1
1-CHDXV00,3
1-CJB7OUD,1
1-CK777A3,1
1-CK7PVPQ,4
1-CKPVOMW,17
1-CLKT3FQ,1
1-CLP1JC0,1
1-CMHY2B8,1
1-CN1ARH6,1
1-CNAB6K9,17
1-CNKZ57O,1
1-CNTKKDT,1
1-CO0V6IK,2
1-CO4H9IR,1
1-CORS000,2
1-COVON4N,7
1-CPI1KK0,1
1-CPZW9QC,1
