revenue_per_user,orders_cnt_per_user,converted_from_main_screen_to_item_card_screen,group,period
1046.8,8.0,1,A,before test
1048.5,8.0,1,A,before test
980.9,9.0,0,B,before test
929.1,9.0,0,A,before test
1017.0,8.0,0,B,before test
1019.1,8.0,0,B,before test
1101.6,9.0,0,A,before test
1007.2,10.0,0,B,before test
1002.3,12.0,0,B,before test
1037.4,8.0,0,B,before test
988.2,13.0,0,A,before test
1012.0,13.0,1,A,before test
870.1,11.0,0,A,before test
947.7,12.0,0,B,before test
1052.7,8.0,1,A,before test
1010.7,16.0,0,B,before test
1083.4,12.0,0,A,before test
917.2,12.0,0,B,before test
987.3,8.0,0,A,before test
1018.4,6.0,0,B,before test
949.6,8.0,1,A,before test
1032.3,8.0,0,B,before test
1024.0,7.0,0,B,before test
1023.3,7.0,1,B,before test
1002.6,5.0,0,A,before test
945.1,16.0,0,B,before test
955.3,10.0,0,A,before test
1036.5,7.0,0,B,before test
937.1,8.0,0,A,before test
1064.2,6.0,1,B,before test
937.9,9.0,0,A,before test
981.6,6.0,0,B,before test
1060.7,11.0,0,A,before test
998.4,11.0,0,A,before test
1026.9,9.0,0,A,before test
996.0,9.0,0,B,before test
1116.0,8.0,0,A,before test
1055.3,8.0,1,A,before test
1013.6,10.0,0,A,before test
1073.3,9.0,0,A,before test
1080.0,10.0,0,A,before test
969.5,8.0,0,B,before test
1050.1,8.0,0,A,before test
1015.3,10.0,0,A,before test
994.1,9.0,0,A,before test
1074.3,8.0,0,A,before test
945.8,9.0,0,A,before test
1018.6,17.0,0,B,before test
989.1,16.0,0,B,before test
1003.0,11.0,0,B,before test
910.1,7.0,0,B,before test
1000.9,9.0,0,B,before test
1073.1,7.0,0,A,before test
1046.0,5.0,0,A,before test
897.1,3.0,0,B,before test
1083.1,9.0,1,A,before test
1021.6,12.0,0,B,before test
991.7,10.0,0,A,before test
1002.3,9.0,0,B,before test
1110.1,13.0,0,B,before test
1024.6,11.0,0,A,before test
1049.7,8.0,0,B,before test
943.1,4.0,0,B,before test
1006.9,9.0,0,A,before test
979.7,11.0,0,A,before test
1012.4,9.0,0,A,before test
1008.9,10.0,0,B,before test
1043.8,14.0,0,B,before test
985.8,11.0,1,A,before test
948.7,13.0,0,A,before test
1024.9,4.0,0,B,before test
1114.5,15.0,0,B,before test
1053.2,7.0,0,A,before test
1024.1,5.0,0,B,before test
935.5,7.0,0,B,before test
1007.3,10.0,1,A,before test
1040.2,14.0,0,B,before test
967.9,8.0,1,A,before test
979.9,10.0,1,A,before test
980.1,11.0,1,A,before test
942.9,10.0,0,B,before test
1018.6,3.0,0,B,before test
1018.0,8.0,0,B,before test
968.7,10.0,0,B,before test
1006.5,9.0,0,A,before test
961.2,10.0,0,A,before test
1032.2,8.0,0,B,before test
984.9,9.0,0,B,before test
990.8,8.0,0,B,before test
1019.5,9.0,0,B,before test
987.6,8.0,0,A,before test
972.3,13.0,0,B,before test
1028.3,8.0,0,B,before test
1056.7,10.0,0,B,before test
998.3,6.0,0,B,before test
1019.0,13.0,0,A,before test
1028.3,6.0,1,B,before test
973.6,9.0,0,B,before test
987.0,11.0,0,B,before test
1028.4,7.0,1,B,before test
1000.7,6.0,0,B,before test
1011.4,11.0,0,B,before test
977.5,9.0,0,A,before test
1063.6,11.0,0,A,before test
1013.7,7.0,0,B,before test
993.8,14.0,0,B,before test
1105.8,11.0,0,A,before test
1053.9,8.0,0,B,before test
1031.4,5.0,0,B,before test
933.7,13.0,0,B,before test
952.2,9.0,0,B,before test
1033.8,12.0,0,A,before test
1011.1,4.0,0,B,before test
899.8,11.0,0,A,before test
922.7,7.0,0,B,before test
1089.6,2.0,0,B,before test
966.9,10.0,0,A,before test
988.8,12.0,0,A,before test
942.0,11.0,0,A,before test
985.8,14.0,0,B,before test
1014.3,8.0,0,A,before test
959.3,10.0,0,A,before test
962.5,8.0,0,A,before test
973.9,10.0,0,A,before test
1059.5,-5.0,0,B,before test
1033.9,7.0,0,B,before test
893.1,8.0,0,B,before test
989.4,6.0,0,A,before test
1073.8,10.0,1,A,before test
962.3,12.0,0,A,before test
947.9,8.0,0,B,before test
923.8,7.0,1,A,before test
1009.7,10.0,1,B,before test
971.1,7.0,0,B,before test
1027.6,8.0,0,B,before test
1074.6,4.0,0,B,before test
946.7,9.0,0,A,before test
925.1,9.0,0,B,before test
997.6,7.0,0,B,before test
898.2,10.0,0,B,before test
933.2,10.0,0,B,before test
973.1,17.0,0,B,before test
1028.6,6.0,0,A,before test
1037.8,11.0,0,A,before test
1039.0,12.0,0,A,before test
949.6,10.0,0,A,before test
979.5,9.0,0,A,before test
955.2,2.0,0,B,before test
969.6,8.0,0,A,before test
1030.3,7.0,0,A,before test
1015.4,6.0,1,A,before test
1016.7,13.0,1,B,before test
989.5,10.0,0,B,before test
979.7,8.0,0,A,before test
1070.1,10.0,0,A,before test
989.9,10.0,0,B,before test
1004.4,11.0,1,A,before test
1008.9,7.0,1,B,before test
931.1,9.0,0,A,before test
1016.6,15.0,0,B,before test
969.3,13.0,0,B,before test
999.8,11.0,0,A,before test
1123.4,9.0,0,A,before test
877.5,10.0,0,B,before test
963.4,9.0,0,B,before test
950.3,10.0,0,B,before test
996.7,13.0,1,A,before test
1053.9,9.0,0,A,before test
953.8,8.0,0,A,before test
1036.4,7.0,0,A,before test
1043.1,8.0,1,A,before test
1035.0,8.0,0,B,before test
969.1,9.0,1,B,before test
975.0,10.0,0,A,before test
1009.5,5.0,0,A,before test
1048.1,10.0,0,A,before test
1051.1,6.0,0,A,before test
1101.8,16.0,0,B,before test
1000.9,11.0,0,A,before test
971.6,9.0,0,B,before test
982.4,7.0,0,A,before test
1154.4,8.0,0,A,before test
1032.2,9.0,0,A,before test
969.0,14.0,0,B,before test
984.2,10.0,0,A,before test
1000.4,12.0,0,A,before test
922.2,12.0,0,B,before test
988.2,8.0,0,A,before test
1036.5,7.0,1,A,before test
1079.1,8.0,0,A,before test
997.8,12.0,0,A,before test
974.7,11.0,0,B,before test
977.7,6.0,0,A,before test
1027.9,8.0,0,A,before test
1022.2,12.0,0,A,before test
1012.5,9.0,0,A,before test
1118.6,7.0,0,A,before test
1087.3,6.0,0,A,before test
1107.9,13.0,0,A,before test
1010.1,8.0,0,A,before test
1005.2,12.0,0,B,before test
972.5,9.0,0,B,before test
1063.5,8.0,0,A,before test
1060.3,11.0,0,B,before test
948.6,8.0,0,A,before test
1027.5,3.0,0,A,before test
1088.5,13.0,0,B,before test
967.1,6.0,0,A,before test
983.0,7.0,0,B,before test
1041.1,11.0,0,B,before test
1057.5,8.0,0,B,before test
990.1,10.0,0,A,before test
1037.0,6.0,0,A,before test
1057.9,6.0,0,B,before test
961.4,12.0,0,B,before test
1047.8,6.0,0,A,before test
1004.3,6.0,1,B,before test
1024.8,8.0,0,A,before test
1032.7,8.0,0,B,before test
974.3,7.0,0,B,before test
1067.7,7.0,0,A,before test
1058.0,8.0,0,B,before test
918.4,8.0,1,B,before test
973.1,8.0,1,A,before test
993.9,7.0,0,A,before test
1055.4,10.0,0,A,before test
1042.4,9.0,0,A,before test
969.2,11.0,0,A,before test
933.4,10.0,1,B,before test
988.8,5.0,0,B,before test
994.1,11.0,0,A,before test
954.3,7.0,0,B,before test
960.9,8.0,0,A,before test
1090.2,8.0,0,A,before test
1014.0,11.0,0,B,before test
1014.9,9.0,0,A,before test
990.8,11.0,0,A,before test
1077.8,4.0,0,B,before test
994.6,8.0,0,A,before test
940.9,7.0,0,B,before test
1025.6,5.0,0,B,before test
1015.8,8.0,0,B,before test
1019.2,9.0,1,A,before test
953.7,5.0,0,A,before test
937.3,11.0,0,A,before test
1043.6,10.0,0,A,before test
1016.4,10.0,0,A,before test
942.5,8.0,1,A,before test
949.8,8.0,0,B,before test
961.4,7.0,0,B,before test
1037.3,11.0,0,A,before test
1016.7,8.0,1,B,before test
985.9,7.0,0,A,before test
984.5,9.0,1,B,before test
1007.0,7.0,0,A,before test
948.7,11.0,0,B,before test
970.0,10.0,0,A,before test
1055.4,9.0,0,B,before test
1038.4,8.0,0,B,before test
967.2,10.0,1,B,before test
1072.1,13.0,0,A,before test
1084.4,7.0,1,A,before test
1004.2,12.0,0,A,before test
953.0,7.0,0,A,before test
1004.2,7.0,0,A,before test
1026.7,11.0,0,B,before test
1011.7,10.0,0,B,before test
1034.1,16.0,0,B,before test
1042.2,10.0,0,B,before test
1044.5,8.0,0,A,before test
935.7,18.0,0,B,before test
992.4,10.0,0,B,before test
1011.1,11.0,0,B,before test
1040.1,11.0,0,B,before test
1108.7,7.0,0,A,before test
934.5,4.0,0,B,before test
1019.0,13.0,0,B,before test
974.5,10.0,0,B,before test
961.8,9.0,0,A,before test
960.7,10.0,1,B,before test
1067.8,9.0,0,A,before test
1121.2,10.0,0,A,before test
968.0,11.0,0,A,before test
1043.8,11.0,0,A,before test
1044.0,8.0,1,B,before test
976.6,10.0,0,A,before test
1018.6,10.0,0,A,before test
1011.1,12.0,0,A,before test
1005.8,11.0,0,A,before test
1005.4,11.0,0,A,before test
1021.5,9.0,0,B,before test
1016.5,10.0,0,A,before test
1023.1,7.0,0,B,before test
1083.4,7.0,0,B,before test
1048.2,6.0,0,A,before test
1049.2,8.0,0,A,before test
1032.1,9.0,0,A,before test
1042.4,8.0,0,B,before test
1025.0,10.0,1,B,before test
927.6,9.0,0,B,before test
1064.7,9.0,0,A,before test
936.3,7.0,0,B,before test
1063.0,13.0,0,B,before test
1121.4,12.0,0,B,before test
964.6,6.0,0,B,before test
932.7,10.0,0,B,before test
988.7,5.0,0,B,before test
963.7,10.0,0,B,before test
943.6,7.0,0,B,before test
901.8,5.0,0,B,before test
1153.4,11.0,0,A,before test
1020.0,11.0,0,B,before test
936.7,7.0,0,B,before test
990.9,6.0,0,B,before test
1012.1,10.0,0,A,before test
997.1,7.0,0,B,before test
1069.3,5.0,0,B,before test
1069.3,8.0,0,A,before test
1002.2,8.0,0,A,before test
916.9,10.0,0,B,before test
976.0,11.0,1,A,before test
990.0,13.0,0,B,before test
1083.0,8.0,0,A,before test
1041.1,10.0,0,B,before test
969.1,9.0,0,B,before test
1015.1,13.0,0,B,before test
1032.4,12.0,0,B,before test
1042.7,8.0,1,B,before test
897.3,8.0,0,A,before test
1005.9,8.0,0,B,before test
978.0,8.0,0,B,before test
